node_id,label,cluster,degree_centrality,pagerank,closeness_centrality,betweenness_centrality,clustering_coefficient,within_cluster_degree,within_cluster_pagerank,within_cluster_closeness,participation_coefficient
2014,"Ivarsson, 2009",2,0.13157894736842105,0.006746578034415083,0.44881889763779526,0.00019228555162981696,0.9523809523809523,0.6666666666666666,0.04356634491054858,0.75,0.12444444444444436
2078,"Short, 2011",2,0.14035087719298245,0.007096339850095964,0.46153846153846156,0.0004964591223764283,0.9,0.6666666666666666,0.04356634491054858,0.75,0.2265625
2092,"Tremblay, 2011",1,0.13157894736842105,0.007005387594933143,0.5158371040723982,0.005312821178010623,0.580952380952381,0.44,0.042979128787280024,0.6410256410256411,0.4355555555555556
2093,"Tremblay, 2016",1,0.08771929824561403,0.005464291126343314,0.43846153846153846,0.0027379982309721253,0.6,0.2,0.024407754555854356,0.44642857142857145,0.58
2108,"Parks, 1996",5,0.15789473684210525,0.007350716886843314,0.4541832669322709,0.005731756048683476,0.5751633986928104,0.46153846153846156,0.05864799997750296,0.65,0.7345679012345678
2140,"Granovetter, 1973",5,0.2631578947368421,0.010950339784165979,0.5229357798165137,0.013773220856958526,0.5149425287356322,0.6153846153846154,0.0745236308511851,0.7222222222222222,0.7044444444444444
2171,"Chan, 2015",4,0.21929824561403508,0.008912738517936517,0.5066666666666667,0.0020585465870140837,0.6966666666666667,0.9444444444444444,0.0604738352301243,0.9473684210526315,0.49919999999999987
2206,"Tromholt, 2016",4,0.18421052631578946,0.007696734722635978,0.4789915966386555,0.000868180302091772,0.7666666666666667,0.8333333333333333,0.054107653983620274,0.8571428571428571,0.4444444444444444
2217,"Cain, 2010",2,0.2631578947368421,0.012520835400828817,0.5327102803738317,0.014041471546289817,0.4804597701149425,0.9523809523809523,0.060564387156493905,0.9545454545454546,0.48
2225,"Ellison, 2007",3,0.2543859649122807,0.010280979546635387,0.5205479452054794,0.00505415696634626,0.5566502463054187,0.7368421052631579,0.055768670442064454,0.7916666666666666,0.6872770511296076
2226,"Ellison, 2015",4,0.24561403508771928,0.009774718770785737,0.4978165938864629,0.0024969976725317863,0.6587301587301587,0.8888888888888888,0.05703633261203346,0.9,0.5790816326530612
2237,"Milburn, 1983",3,0.20175438596491227,0.00834295095718629,0.504424778761062,0.0015263591346392816,0.7430830039525692,0.631578947368421,0.048318489149085354,0.7307692307692307,0.6275992438563327
